MODEL_NO,MAX_LINE,CNCT1100,CNCT1200,CNCT1300,CNCT1400,CNCT1500,CNCT1600,CNCT1700,CNCT1800,CNCT1900,CNCT1A00,CNCT1B00,CNCT1C00,CNCT1D00,CNCT1E00,CNCT1F00
C080HAA01,1,1900,,,1900,1900,1900,1900,1900,1900,0,0,0,0,0,0
C170UAX01,2,,1900,1900,,,,,,,1900,1900,1900,3000,3000,2300
C156HAX02,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,1900
C123HAT03,4,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
C103HAX01,4,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,
B160QAN03,3,,1900,1900,,,,,1900,1900,1900,1900,1900,3300,3300,
C160WAA01,1,,1900,1900,,,,,1900,1900,1900,1900,1900,,,2300
C271RAA01,1,,,,,,,,,,1800,1800,1800,,,
C101HAX01,3,4400,4400,4400,4400,4400,4400,4400,4400,4400,,,,3500,3500,0
C156HAA01,3,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
C146HAX02,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
C123HAX04,5,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
B140UAN01,3,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,
B160UAN01,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,
C304RAT01,1,,,,,,,,,,,,,,,2000
B140UAN02,3,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,
C132IAA01,3,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
C130HAA01,2,,,,,,,,,,1900,1900,1900,3300,3300,2300
C129HAX01,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
B140UAX01,1,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,,,
C262RAX01,1,,,,,,,,,,1800,1800,1800,,,2300
C120UAA01,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
C215ZAA01,1,,,,,,,,,,1800,1800,1800,,,
B140QAN08,1,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,,,
B140QAX01,1,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,,,
C031VAN02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B180QAN01,1,,,,,,,,,,1900,1900,1900,,,
C146HAA02,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
B153UAX01,1,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,,,
B160ZAN01,3,0,1900,1900,0,0,0,0,1900,1900,1900,1900,1900,3300,3300,0
B170QAN01,1,0,1900,1900,0,0,0,0,,,1900,1900,1900,,,0
C169QAA01,1,,,,,,,,,,,,,,,2000
C179QAA01,1,,,,,,,,,,,,,,,2000
C206RAA01,1,,,,,,,,,,1900,1900,1900,,,
B160UAN10,1,0,1900,1900,0,0,0,0,1900,1900,1900,1900,1900,,,0
B160QAN05,1,0,1900,1900,0,0,0,0,1900,1900,1900,1900,1900,,,0
C146HAA03,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
B160QAN02,3,0,1900,1900,0,0,0,0,1900,1900,1900,1900,1900,3300,3300,0
C215RAX01,1,,,,,,,,,,1800,1800,1800,,,
C109HAX02,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
B160QAN04,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,
C163RAA01,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
C123HAN10,5,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
C150DAA01,2,,,,,,,,,,1900,1900,1900,3300,3300,2300
B133UAN06,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,
B180QAN02,1,,,,,,,,,,1900,1900,1900,,,
C215ZAA02,1,,,,,,,,,,1800,1800,1800,,,
C103HAN04,4,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,
C129HAX02,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
C156UAX01,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,2300
B180ZAN01,1,,,,,,,,,,1900,1900,1900,,,
B133UAN02,1,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3300,3300,
C145QAA01,1,,,,,,,,,,1900,1900,1900,,,
