PROCESS,LINE,IF_REGULAR,WITH_RE,WO_RE,WITH_RATIO,PART_CHANGE
CUT,CNCCT100,YES,1.25,4,1.25,
CUT,CNCCT200,YES,1.25,4,1.25,
CUT,CNCCT300,YES,12,48,12,
CUT,CNCCT400,YES,12,48,12,
CUT,CNCCT500,YES,12,48,12,
CUT,CNCCT901,YES,1,4,1,
CUT,CNCCT902,YES,1,4,1,
CUT,CNCCT903,YES,1,4,1,
CUT,CNCCT904,YES,1,4,1,
CUT,CNCCT905,YES,1,4,1,
CUT,CNCCT906,YES,1,4,1,
CUT,CNCCT907,YES,1,4,1,
CUT,CNCCT908,YES,1.25,4,1.25,
CUT,CNCCT909,YES,1.25,4,1.25,
CUT,CNCCT910,YES,1.25,4,1.25,
CUT,CNCCT90A,YES,1,4,1,
CUT,CNCCT801,YES,1,4,1,
CUT,CNCCT600,YES,6,8,6,
CUT,CNCCT700,YES,6,8,6,
CUT,CNCCT801,NO,8,48,8,
CUT,CNCCT600,NO,8,48,8,
CUT,CNCCT700,NO,8,48,8,
AOI,CNCT1100,,8,12,,2
AOI,CNCT1200,,8,12,,2
AOI,CNCT1300,,8,12,,2
AOI,CNCT1400,,8,12,,2
AOI,CNCT1500,,8,12,,2
AOI,CNCT1600,,8,12,,2
AOI,CNCT1700,,8,12,,2
AOI,CNCT1800,,8,12,,2
AOI,CNCT1900,,8,12,,2
AOI,CNCT1A00,,8,12,,2
AOI,CNCT1B00,,8,12,,2
AOI,CNCT1C00,,8,12,,2
AOI,CNCT1D00,,8,12,,2
AOI,CNCT1E00,,8,12,,2
AOI,CNCT1F00,,8,12,,2
