MODEL_NO,PART_NO,RATIO,CNCCT100,CNCCT200,CNCCT300,CNCCT400,CNCCT500,CNCCT600,CNCCT700,CNCCT901,CNCCT902,CNCCT903,CNCCT904,CNCCT905,CNCCT906,CNCCT907,CNCCT908,CNCCT909,CNCCT910,CNCCT90A,CNCCT801
B140QAN08,57.14BAJ.A05,100%,,,,,,,,900,900,900,900,900,900,,,,,900,900
B140QAX01,57.14BAF.A03,100%,,,,,,,,900,900,900,900,900,900,,,,,900,900
B140UAN01,57.14B96.A05,100%,,,,,,,,900,900,900,900,900,900,,,,,900,900
B140UAN02,57.14B98.A38,100%,,,,,,,,900,900,900,900,900,900,,,,,900,900
B140UAX01,57.14BB3.A10,100%,,,,,,,,900,900,900,900,900,900,,,,,900,900
B153UAX01,57.15BAH.A04,100%,1400,1400,1800,1800,1800,1900,1900,1150,1150,1150,1150,1150,1150,,2100,1400,2100,1150,1150
B160QAN02,57.16B04.AAD,100%,1400,1400,1800,1800,1800,1900,1900,1150,1150,1150,1150,1150,1150,,2100,1400,2100,1150,1150
B160QAN03,57.16B09.A14,100%,,,,,,,,1150,1150,1150,1150,1150,1150,,,,,1150,1150
B160QAN03,57.16B09.A45,100%,1400,1400,1800,1800,1800,1900,1900,1150,1150,1150,1150,1150,1150,,2100,1400,2100,1150,1150
B160QAN03,57.16B09.A25,100%,1400,1400,1800,1800,1800,1900,1900,1150,1150,1150,1150,1150,1150,,2100,1400,2100,1150,1150
B160QAN05,57.16B29.A04,100%,1400,1400,1800,1800,1800,1900,1900,1150,1150,1150,1150,1150,1150,,2100,1400,2100,1150,1150
B160UAN01,57.16B05.A56,100%,1400,1400,1800,1800,1800,1900,1900,1150,1150,1150,1150,1150,1150,,2100,1400,2100,1150,1150
B160UAN10,57.16B25.A05,100%,1400,1400,1800,1800,1800,1900,1900,1150,1150,1150,1150,1150,1150,,2100,1400,2100,1150,1150
B160ZAN01,57.16B10.A27,100%,1400,1400,1800,1800,1800,1900,1900,1150,1150,1150,1150,1150,1150,,2100,1400,2100,1150,1150
B160ZAN01,57.16B10.A14,100%,1400,1400,1800,1800,1800,1900,1900,1150,1150,1150,1150,1150,1150,,2100,1400,2100,1150,1150
B170QAN01,57.17B30.A25,100%,,,,,,,,,,,,,,1500,,,,,
B180QAN01,57.18B01.A09,80%,,,,,,,,600,600,600,600,600,600,,,,,600,600
B180QAN01,57.18B01.A09,20%,,,,,,,,350,350,350,350,350,350,,,,,350,350
C031VAN02,57.03C09.A05,100%,5000,5000,,,,5000,5000,5000,5000,5000,5000,5000,5000,,8000,5000,8000,5000,5000
C080HAA01,57.08C59.A05,100%,4000,4000,,,,6000,6000,3800,3800,3800,3800,,,,6700,4800,6700,3800,3800
C101HAX01,57.10C34.A10,100%,,,2200,2200,2200,3000,3000,1800,1800,1800,1800,,,,,2200,,1800,1800
C103HAX01,57.10C37.A21,42.86%,,,3500,3500,3500,4200,4200,2500,2500,2500,2500,,,,,,,2500,2500
