MFG_DAY,PART_NO,MODEL_NO,PPC_DPS
3/14/2026 0:00,57.12C21.A12,C123HAN10,4400
3/14/2026 0:00,57.12C42.A11,C129HAX01,3700
3/14/2026 0:00,57.14BAF.A03,B140QAX01,3000
3/14/2026 0:00,57.12C20.010,C120UAA01,5600
3/14/2026 0:00,57.16C07.002,C163RAA01,3600
3/14/2026 0:00,57.21C04.001,C215ZAA01,2700
3/14/2026 0:00,57.16B04.AAD,B160QAN02,2200
3/14/2026 0:00,57.16B05.A56,B160UAN01,3600
3/14/2026 0:00,57.21C01.A04,C215RAX01,2100
3/14/2026 0:00,57.12C21.007,C123HAN10,4400
3/14/2026 0:00,57.08C59.A05,C080HAA01,3800
3/16/2026 0:00,57.12C42.A11,C129HAX01,5550
3/16/2026 0:00,57.12C21.007,C123HAN10,4400
3/16/2026 0:00,57.12C21.A12,C123HAN10,4400
3/16/2026 0:00,57.21C01.A04,C215RAX01,3400
3/16/2026 0:00,57.10C55.A08,C109HAX02,1000
3/16/2026 0:00,57.08C59.A05,C080HAA01,3800
3/16/2026 0:00,57.16B05.A56,B160UAN01,3600
3/16/2026 0:00,57.21C04.001,C215ZAA01,1160
3/16/2026 0:00,57.16C07.002,C163RAA01,200
3/16/2026 0:00,57.12C20.010,C120UAA01,5600
3/16/2026 0:00,57.12C19.A65,C123HAX04,4200
3/16/2026 0:00,57.14BB3.A16,B140UAX01,1500
3/17/2026 0:00,57.12C19.025,C123HAX04,2250
3/17/2026 0:00,57.08C59.A05,C080HAA01,1900
3/17/2026 0:00,57.16B05.A56,B160UAN01,3600
3/17/2026 0:00,57.16B09.A25,B160QAN03,2200
3/17/2026 0:00,57.12C21.007,C123HAN10,4400
3/17/2026 0:00,57.12C20.010,C120UAA01,5600
3/17/2026 0:00,57.14BB3.A16,B140UAX01,624
3/17/2026 0:00,57.10C55.A08,C109HAX02,4000
3/17/2026 0:00,57.12C21.A12,C123HAN10,4400
3/17/2026 0:00,57.21C01.A04,C215RAX01,3400
3/17/2026 0:00,57.12C42.A11,C129HAX01,3700
3/18/2026 0:00,57.16B05.A56,B160UAN01,3600
3/18/2026 0:00,57.12C19.025,C123HAX04,4400
3/18/2026 0:00,57.12C21.007,C123HAN10,1700
3/18/2026 0:00,57.12C21.A12,C123HAN10,4400
3/18/2026 0:00,57.15BAH.A04,B153UAX01,2150
3/18/2026 0:00,57.15C16.009,C156UAX01,2200
3/18/2026 0:00,57.12C42.A11,C129HAX01,3700
3/18/2026 0:00,57.10C55.A08,C109HAX02,3000
3/18/2026 0:00,57.20C07.001,C206RAA01,1050
3/18/2026 0:00,57.12C20.010,C120UAA01,5600
3/18/2026 0:00,57.21C01.A04,C215RAX01,3400
3/18/2026 0:00,57.16B09.A25,B160QAN03,3600
3/19/2026 0:00,57.21C01.A04,C215RAX01,3400
3/19/2026 0:00,57.12C20.010,C120UAA01,5600
3/19/2026 0:00,57.18B02.A04,B180ZAN01,1450
3/19/2026 0:00,57.16B09.A25,B160QAN03,3600
3/19/2026 0:00,57.12C19.025,C123HAX04,3900
3/19/2026 0:00,57.12C21.A12,C123HAN10,4400
