PROCESS,LINE,MODEL_NO
AOI,CNCT1100,C123HAN10
AOI,CNCT1C00,B140QAN03
AOI,CNCT1200,C103HAN04
AOI,CNCT1C00,B140QAX01
AOI,CNCT1500,C120UAA01
AOI,CNCT1700,H606TAX01
AOI,CNCT1600,B140UAN02
AOI,CNCT1800,B160QAN02
AOI,CNCT1400,C146HAX01
AOI,CNCT1900,C103HAN04
AOI,CNCT1800,C116HAX02
AOI,CNCT1200,C156HAA01
AOI,CNCT1400,B140UAN01
AOI,CNCT1A00,B160QAN02
AOI,CNCT1200,B160QAN02
AOI,CNCT1100,C120UAA01
AOI,CNCT1F00,C170UAX01
AOI,CNCT1400,C109HAX02
AOI,CNCT1D00,C103HAN04
AOI,CNCT1200,B133UAN02
AOI,CNCT1400,H606TAX01
AOI,CNCT1200,C120UAA01
AOI,CNCT1B00,C130UAU01
AOI,CNCT1B00,C146HAX02
AOI,CNCT1300,C132IAA02
AOI,CNCT1500,B140UAN02
AOI,CNCT1F00,C132IAA02
AOI,CNCT1300,C146HAA02
AOI,CNCT1500,C146HAA02
AOI,CNCT1400,C103HAN04
AOI,CNCT1A00,C130HAA01
AOI,CNCT1C00,C271RAA01
AOI,CNCT1800,B133UAN02
AOI,CNCT1200,B140HAN09
AOI,CNCT1A00,C132IAA01
AOI,CNCT1900,C163RAA01
AOI,CNCT1C00,B160QAN04
AOI,CNCT1C00,C215ZAA01
AOI,CNCT1500,B133UAN02
AOI,CNCT1300,C156HAX02
AOI,CNCT1E00,C103HAN04
AOI,CNCT1B00,C130HAA01
AOI,CNCT1100,B140UAX01
AOI,CNCT1F00,C215RAX01
AOI,CNCT1900,B160UAN10
AOI,CNCT1200,B140UAN01
AOI,CNCT1700,C109HAX02
AOI,CNCT1E00,B160QAN03
AOI,CNCT1D00,C116HAX03
AOI,CNCT1800,B140QAX01
AOI,CNCT1A00,B180QAN02
AOI,CNCT1900,C146HAX02
AOI,CNCT1900,B133UAN02
AOI,CNCT1C00,B153UAX01
AOI,CNCT1A00,C150DAA01
AOI,CNCT1B00,C129HAX02
AOI,CNCT1200,B140QAN10
AOI,CNCT1C00,C163RAA01
AOI,CNCT1200,C156HAX02
AOI,CNCT1100,B140UAA01
AOI,CNCT1100,C129HAX01
AOI,CNCT1F00,B160UAX01
AOI,CNCT1A00,C123HAN10
AOI,CNCT1400,C120UAA01
AOI,CNCT1B00,B160UAN01
AOI,CNCT1F00,C169RAA02
AOI,CNCT1400,C129HAX03
AOI,CNCT1900,B140HAN06
AOI,CNCT1A00,B160UAN06
AOI,CNCT1F00,C123HAX04
AOI,CNCT1300,C123HAN10
AOI,CNCT1A00,C162IAX01
AOI,CNCT1900,H642GAX01
AOI,CNCT1100,C123HAT03
AOI,CNCT1800,H606TAX01
AOI,CNCT1C00,C146HAX01
AOI,CNCT1200,B133HAN05
AOI,CNCT1A00,C146HAX01
AOI,CNCT1800,B160QAN03
AOI,CNCT1900,C101HAX01
AOI,CNCT1600,C080HAA01
AOI,CNCT1300,C146HAX02
AOI,CNCT1100,C156HAX02
AOI,CNCT1700,C156HAA01
AOI,CNCT1800,B140UAN02
AOI,CNCT1200,C170UAX01
AOI,CNCT1600,C146HAA01
AOI,CNCT1100,C132IAA02
AOI,CNCT1500,B156HAN09
AOI,CNCT1A00,C129HAX03
AOI,CNCT1800,B140QAN04
AOI,CNCT1C00,C130HAA01
AOI,CNCT1400,C156HAX02
AOI,CNCT1A00,C112DAA01
AOI,CNCT1B00,B180QAN02
AOI,CNCT1100,C129HAX02
AOI,CNCT1900,C146HAA03
AOI,CNCT1B00,B173ZAN06
AOI,CNCT1400,C080HAA01
AOI,CNCT1B00,B133QAA01
AOI,CNCT1800,C170UAX01
AOI,CNCT1D00,C132IAA01
AOI,CNCT1B00,C160WAA01
AOI,CNCT1900,C129HAX01
AOI,CNCT1700,C123HAX04
AOI,CNCT1F00,C304RAT01
AOI,CNCT1C00,C145QAA01
AOI,CNCT1700,B140UAN01
AOI,CNCT1300,B140UAN02
AOI,CNCT1C00,B160QAN02
AOI,CNCT1500,C123HAX04
AOI,CNCT1C00,C215RAX01
AOI,CNCT1C00,C123HAX04
AOI,CNCT1A00,C123HAX04
AOI,CNCT1C00,B160QAN03
AOI,CNCT1F00,B173HAN05
AOI,CNCT1C00,C156HAA01
AOI,CNCT1300,B156ZAN03
AOI,CNCT1B00,B160UAN06
AOI,CNCT1300,B160QAN04
AOI,CNCT1E00,C123HAX04
AOI,CNCT1C00,C123HAN10
AOI,CNCT1B00,B160ZAN01
AOI,CNCT1400,C116HAX03
AOI,CNCT1300,C146HAX01
AOI,CNCT1200,B140QAN04
AOI,CNCT1300,C146HAA01
AOI,CNCT1500,C123HAT03
AOI,CNCT1400,B140UAN02
AOI,CNCT1300,C160WAA01
AOI,CNCT1F00,C179QAA02
AOI,CNCT1B00,C146HAA02
AOI,CNCT1400,C146HAA02
AOI,CNCT1E00,C103HAX01
AOI,CNCT1D00,C120UAA01
AOI,CNCT1C00,B156ZAN03
AOI,CNCT1400,C103HAX01
AOI,CNCT1800,B160UAN06
AOI,CNCT1800,C132IAA01
AOI,CNCT1E00,C123HAT03
AOI,CNCT1200,B160UAN06
AOI,CNCT1800,C120HAT01
AOI,CNCT1D00,B160UAN10
AOI,CNCT1700,C129HAX03
AOI,CNCT1700,C146HAX02
AOI,CNCT1600,B140UAN05
AOI,CNCT1800,B156ZAN03
AOI,CNCT1F00,C156HAA01
AOI,CNCT1C00,C270RAX01
AOI,CNCT1200,C123HAX04
AOI,CNCT1B00,C271RAA01
AOI,CNCT1A00,B133QAA01
AOI,CNCT1200,C164UAA01
AOI,CNCT1800,B153UAX01
AOI,CNCT1900,B140QAN03
AOI,CNCT1200,C162IAA02
AOI,CNCT1200,C146HAA03
AOI,CNCT1300,C123HAT03
AOI,CNCT1200,B160QAN03
AOI,CNCT1600,C103HAX01
AOI,CNCT1800,C146HAX01
AOI,CNCT1900,B156HAN12
AOI,CNCT1500,C123HAN10
AOI,CNCT1900,C120UAA01
AOI,CNCT1C00,B180QAN01
AOI,CNCT1200,B140QAN08
